block,part,policy,metric,mean
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,unaided_time_s,56.076190476190476
heldout_32M_precorrection,A_scripted_primary,fixed,unaided_time_s,87.47619047619048
heldout_32M_precorrection,A_scripted_primary,reactive,unaided_time_s,57.44761904761905
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,acoustic_fixes,14.2
heldout_32M_precorrection,A_scripted_controls,fixed,acoustic_fixes,0.0
heldout_32M_precorrection,A_scripted_controls,reactive,acoustic_fixes,13.383333333333333
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,completed,0.3333333333333333
heldout_32M_precorrection,A_scripted_controls,fixed,completed,0.3333333333333333
heldout_32M_precorrection,A_scripted_controls,reactive,completed,0.3333333333333333
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,longest_unaided_gap_s,38.0
heldout_32M_precorrection,A_scripted_controls,fixed,longest_unaided_gap_s,38.0
heldout_32M_precorrection,A_scripted_controls,reactive,longest_unaided_gap_s,38.03333333333333
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,mode_switches,0.0
heldout_32M_precorrection,A_scripted_controls,fixed,mode_switches,0.0
heldout_32M_precorrection,A_scripted_controls,reactive,mode_switches,8.133333333333333
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,optical_fixes,27.4
heldout_32M_precorrection,A_scripted_controls,fixed,optical_fixes,27.4
heldout_32M_precorrection,A_scripted_controls,reactive,optical_fixes,27.366666666666667
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,overall_rmse_m,0.5204409549788802
heldout_32M_precorrection,A_scripted_controls,fixed,overall_rmse_m,0.5204373248052278
heldout_32M_precorrection,A_scripted_controls,reactive,overall_rmse_m,0.5696746645533286
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,peak_error_m,1.3711846438523672
heldout_32M_precorrection,A_scripted_controls,fixed,peak_error_m,1.3711689185041496
heldout_32M_precorrection,A_scripted_controls,reactive,peak_error_m,1.504747600173968
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,physical_interventions,0.6666666666666666
heldout_32M_precorrection,A_scripted_controls,fixed,physical_interventions,0.6666666666666666
heldout_32M_precorrection,A_scripted_controls,reactive,physical_interventions,2.8833333333333333
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,rmse_transition_m,0.6470618877448878
heldout_32M_precorrection,A_scripted_controls,fixed,rmse_transition_m,0.6470582575712351
heldout_32M_precorrection,A_scripted_controls,reactive,rmse_transition_m,0.732983324785772
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,safety_violation,0.016666666666666666
heldout_32M_precorrection,A_scripted_controls,fixed,safety_violation,0.016666666666666666
heldout_32M_precorrection,A_scripted_controls,reactive,safety_violation,0.016666666666666666
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,survey_coverage_fraction,1.0
heldout_32M_precorrection,A_scripted_controls,fixed,survey_coverage_fraction,1.0
heldout_32M_precorrection,A_scripted_controls,reactive,survey_coverage_fraction,0.9881670912535109
heldout_32M_precorrection,A_scripted_controls,deployment_fixed,unaided_time_s,38.0
heldout_32M_precorrection,A_scripted_controls,fixed,unaided_time_s,38.0
heldout_32M_precorrection,A_scripted_controls,reactive,unaided_time_s,38.03333333333333
