aiding_availability,channel_switches,completed,coverage_fraction,detection_latency_s,dwell_s,elapsed_s,false_alarms,max_cross_track_m,mean_altitude_m,mode_transitions,p95_position_error_m,path_length_m,path_overhead,policy,rms_cross_track_m,rms_position_error_m,safety_violations,scenario,seed,surfaced,surfacing_commanded,swath_coverage,terminal_error_m,waypoints_captured,waypoints_surveyed,waypoints_total
0.4635553224960671,0,True,1.0,0.5000000000003055,4.0,190.69999999999345,3,0.23500116191992948,2.998930936948527,5,0.1302544710076491,94.81654500941272,-0.03248423459782934,proposed,0.08334390661621671,0.07821180926381326,0,E5_optical_loss,20001002,False,False,0.9996436456495089,0.04631486113961754,8,8,8
0.3865546218487395,0,True,1.0,0.5000000000003055,4.0,190.39999999999347,3,0.26744457001510913,3.001149716690487,5,0.2750367866541969,94.75495441071175,-0.03311271009477812,proposed,0.07868283419615008,0.13726250879930926,0,E5_optical_loss,20001003,False,False,1.000383238896829,0.10643858992500534,8,8,8
0.3070083682008368,0,True,1.0,0.5000000000003055,4.0,191.19999999999342,3,0.2976365375622949,3.0008162257549635,5,0.26893017021888305,94.8287914496835,-0.03235927092159696,proposed,0.08975299952088515,0.14028434301293918,0,E5_optical_loss,20001004,False,False,1.0002720752516545,0.11735001311799409,8,8,8
0.4462025316455696,0,True,1.0,0.5000000000003055,4.0,189.5999999999935,3,0.2724000872749164,2.9993427547505767,5,0.13636742499408894,94.43871332526926,-0.036339659946232006,proposed,0.09796244514380463,0.07340938580314907,0,E5_optical_loss,20001005,False,False,0.9997809182501922,0.018441836404520635,8,8,8
0.4140992167101828,0,True,1.0,0.5000000000003055,4.0,191.4999999999934,3,0.2408334431597181,3.001333709798111,5,0.2064333758876865,95.09945992040224,-0.029597347750997538,proposed,0.07487919502379575,0.12356686952983992,0,E5_optical_loss,20001006,False,False,1.0004445699327038,0.09245897259689786,8,8,8
0.44438614900314793,0,True,1.0,0.5000000000003055,4.0,190.59999999999346,3,0.1899451508818939,2.998899893025834,5,0.21273580337172193,94.84596092998513,-0.03218407214300889,proposed,0.05441894648995917,0.10954474516759252,0,E5_optical_loss,20001007,False,False,0.999633297675278,0.07451082606153193,8,8,8
0.110057925223802,0,True,1.0,0.5000000000003055,4.0,189.8999999999935,3,0.4331346506584408,2.999417824784989,5,0.29167681385620564,94.35218038860961,-0.03722264909582029,proposed,0.18210300542632127,0.2044692299996148,0,E5_optical_loss,20001008,False,False,0.9998059415949964,0.2595933341692708,8,8,8
0.4666666666666667,0,True,1.0,0.5000000000003055,4.0,190.49999999999346,3,0.23044900497151222,3.0003540537315274,5,0.10744419353764044,94.67882600709227,-0.03388953053987476,proposed,0.08509460887769206,0.06706952353977208,0,E5_optical_loss,20001009,False,False,1.0001180179105091,0.027909927052255736,8,8,8
0.43792561550550024,0,True,1.0,,4.0,190.89999999999344,1,0.2146015207197327,2.9984822483895415,1,0.2708848569517122,95.07535785762198,-0.02984328716712259,proposed,0.06121840958655391,0.16530473299115017,0,E6_acoustic_intermittent,20001000,False,False,0.9994940827965139,0.11575294958698897,8,8,8
0.779874213836478,0,True,1.0,,4.0,190.79999999999345,1,0.24863835040113713,3.0009476340568177,1,0.14651207117370976,94.82775160895106,-0.032369881541315704,proposed,0.07835945845058692,0.09856577579438384,0,E6_acoustic_intermittent,20001001,False,False,1.0003158780189392,0.10521499314408303,8,8,8
