scenario,policy,seed,mode_transitions,channel_switches,detection_latency_s,false_alarms,surfacing_commanded,surfaced,completed,waypoints_captured,waypoints_surveyed,waypoints_total,coverage_fraction,elapsed_s,rms_cross_track_m,max_cross_track_m,safety_violations,path_length_m,path_overhead,mean_altitude_m,swath_coverage,terminal_error_m,aiding_availability,rms_position_error_m,p95_position_error_m
E10_current_steady,covariance_only,20001004,0,0,,0,False,False,True,8,8,8,1.0,190.59999999999346,0.11601104733103446,0.33564601029378593,0,94.56750442945902,-0.03502546500552017,2.998367860986629,0.9994559536622097,0.11426931867385673,0.9989506820566632,0.11402578520695704,0.20160290411209886
E10_current_steady,dead_reckoning,20001004,0,0,,0,False,False,True,8,8,8,1.0,190.39999999999347,0.26783722371485746,0.5510829337038405,0,94.46792253803221,-0.0360416067547733,2.9983703404781057,0.9994567801593686,0.181655149985985,0.0005252100840336134,0.228773230122373,0.33370771908129504
E10_current_steady,fixed,20001004,0,1,,0,False,False,True,8,8,8,1.0,379.0000000000177,0.11684075812053203,0.3238208592622911,0,94.43694878785604,-0.036357665430040376,3.00065346271115,1.0002178209037167,0.12716537942645037,0.7401055408970977,0.0857385888098933,0.1326967618509627
E10_current_steady,oracle,20001004,0,1,,0,False,False,True,8,8,8,1.0,190.59999999999346,0.06378519247254427,0.28872021529069336,0,94.91955891685215,-0.03143307227701886,2.0099593849130777,0.6699864616376926,0.19048962225470836,0.4260230849947534,0.1407642775033663,0.28763587782165245
E10_current_steady,proposed,20001004,1,0,,1,False,False,True,8,8,8,1.0,190.59999999999346,0.07273465335764442,0.24275063811249353,0,94.58181499444825,-0.034879438832160714,2.9983892737808095,0.9994630912602699,0.157113853050031,0.6327387198321092,0.12300157586097851,0.2629669763015534
E10_current_steady,residual_only,20001004,0,0,,0,False,False,True,8,8,8,1.0,190.59999999999346,0.07273465335764442,0.24275063811249353,0,94.58181499444825,-0.034879438832160714,2.9983892737808095,0.9994630912602699,0.157113853050031,0.6327387198321092,0.12300157586097851,0.2629669763015534
E10_current_steady,ablation_a1,20001005,1,0,,1,False,False,True,8,8,8,1.0,189.29999999999353,0.08577422770091384,0.25062492482319954,0,94.35346791734216,-0.03720951104752901,3.0021355260135487,1.0007118420045162,0.014947202224463538,0.9281563655573164,0.05305071326761902,0.09929980701532282
E10_current_steady,ablation_a2,20001005,1,0,,1,False,False,True,8,8,8,1.0,189.29999999999353,0.08577422770091384,0.25062492482319954,0,94.35346791734216,-0.03720951104752901,3.0021355260135487,1.0007118420045162,0.014947202224463538,0.9281563655573164,0.05305071326761902,0.09929980701532282
E10_current_steady,covariance_only,20001005,0,0,,0,False,False,True,8,8,8,1.0,189.09999999999354,0.10062004280120894,0.25798553594437656,0,94.24223839165079,-0.03834450620764507,3.0022313883083975,1.0007437961027992,0.05206355175055058,0.9994711792702274,0.08438337667012837,0.14857838244401986
E10_current_steady,dead_reckoning,20001005,0,0,,0,False,False,True,8,8,8,1.0,189.09999999999354,0.086588455354299,0.3617121216846755,0,94.24338828764716,-0.038332772575028984,3.0022323448606003,1.0007441149535334,0.16750084678171065,0.0005288207297726071,0.16533082469102806,0.2635306125898744
E10_current_steady,fixed,20001005,0,1,,0,False,False,True,8,8,8,1.0,376.100000000017,0.09483269874150227,0.29170134637010925,0,94.02664245764579,-0.040544464717900075,3.001352949299257,1.0004509830997523,0.05518739709973962,0.7505982451475671,0.04026865762766964,0.07406638024607824
E10_current_steady,oracle,20001005,0,1,,0,False,False,True,8,8,8,1.0,189.8999999999935,0.06522362998535468,0.21062842074139354,0,94.62992397447425,-0.034388530872711764,2.0123561146559688,0.6707853715519896,0.004867473084480339,0.9310163243812533,0.045760247352688715,0.08310478793694319
E10_current_steady,proposed,20001005,1,0,,1,False,False,True,8,8,8,1.0,189.29999999999353,0.08577422770091384,0.25062492482319954,0,94.35346791734216,-0.03720951104752901,3.0021355260135487,1.0007118420045162,0.014947202224463538,0.9281563655573164,0.05305071326761902,0.09929980701532282
E10_current_steady,residual_only,20001005,0,0,,0,False,False,True,8,8,8,1.0,189.29999999999353,0.08577422770091384,0.25062492482319954,0,94.35346791734216,-0.03720951104752901,3.0021355260135487,1.0007118420045162,0.014947202224463538,0.9281563655573164,0.05305071326761902,0.09929980701532282
E10_current_steady,ablation_a1,20001006,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.06406231284886849,0.1947024284918255,0,94.97788122341483,-0.03083794669984874,3.0012242238463385,1.0004080746154462,0.09328913100142082,0.8666317991631799,0.09108352443234582,0.11482216673797487
E10_current_steady,ablation_a2,20001006,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.06406231284886849,0.1947024284918255,0,94.97788122341483,-0.03083794669984874,3.0012242238463385,1.0004080746154462,0.09328913100142082,0.8666317991631799,0.09108352443234582,0.11482216673797487
E10_current_steady,covariance_only,20001006,0,0,,0,False,False,True,8,8,8,1.0,191.5999999999934,0.05129006780174549,0.19645625542993628,0,95.21518715018453,-0.028416457651178284,3.0012762095669108,1.0004254031889703,0.1488503935236848,0.9994780793319415,0.11907900320362073,0.16320074843491214
E10_current_steady,dead_reckoning,20001006,0,0,,0,False,False,True,8,8,8,1.0,192.09999999999337,0.15869280189706658,0.22173617932493528,0,95.47349315226687,-0.02578068211972584,3.0012691251469787,1.0004230417156597,0.2286213172767399,0.0005205622071837585,0.23587281399386048,0.34347431121165617
E10_current_steady,fixed,20001006,0,1,,0,False,False,True,8,8,8,1.0,380.8000000000181,0.07570899966876744,0.2324325437797108,0,94.64465570527868,-0.034238207088993056,2.999273495038112,0.9997578316793706,0.08989568913188775,0.751313025210084,0.06990716016665423,0.10466096062720419
E10_current_steady,oracle,20001006,0,1,,0,False,False,True,8,8,8,1.0,191.29999999999342,0.042678564385949504,0.18957905722698287,0,95.10011310813985,-0.029590682570001525,3.002583419909878,1.0008611399699594,0.11486215719206319,0.7548353371667538,0.11014943090759131,0.1689693204872739
E10_current_steady,proposed,20001006,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.06406231284886849,0.1947024284918255,0,94.97788122341483,-0.03083794669984874,3.0012242238463385,1.0004080746154462,0.09328913100142082,0.8666317991631799,0.09108352443234582,0.11482216673797487
E10_current_steady,residual_only,20001006,0,0,,0,False,False,True,8,8,8,1.0,191.19999999999342,0.06406231284886849,0.1947024284918255,0,94.97788122341483,-0.03083794669984874,3.0012242238463385,1.0004080746154462,0.09328913100142082,0.8666317991631799,0.09108352443234582,0.11482216673797487
