acoustic_infrastructure_cost,aiding_availability,channel_switches,completed,coverage_fraction,detection_latency_s,elapsed_s,false_alarms,max_cross_track_m,mean_altitude_m,mode_transitions,p95_position_error_m,path_length_m,path_overhead,policy,rms_cross_track_m,rms_position_error_m,safety_violations,scenario,seed,surfaced,surfacing_commanded,swath_coverage,terminal_error_m,waypoints_captured,waypoints_surveyed,waypoints_total
0.14994775339602923,1.0,0,True,1.0,,191.3999999999934,0,0.2357106695896154,2.0136830675863693,0,0.22595000336864526,95.23163866224644,-0.028248585079117983,camera_offaxis+lbl@2.0m/0.50mps/weight/continue,0.08706530187602994,0.13996674158522712,0,E10_current_steady,20801000,False,False,0.6712276891954564,0.1895320269608564,8,8,8
0.14997357293868915,0.45930232558139533,0,True,1.0,,378.40000000001754,0,0.4701105274375168,3.0006836095264027,0,0.3805422847779536,94.62441652397956,-0.034444729347147374,camera_offaxis+lbl@3.0m/0.25mps/gate/continue,0.1735583798078349,0.19506940981555318,0,E10_current_steady,20801000,False,False,1.0002278698421343,0.2689236791848235,8,8,8
0.14997352396081542,0.9994704792163093,0,True,1.0,,377.7000000000174,0,0.2319241253739719,3.0001513620112252,0,0.09949289216089299,94.41036979462937,-0.03662887964663908,camera_offaxis+lbl@3.0m/0.25mps/weight/continue,0.08574762613827888,0.07664466670638653,0,E10_current_steady,20801000,False,False,1.0000504540037418,0.08098026934431794,8,8,8
0.14994810586403734,0.10430721328489881,0,True,1.0,,192.69999999999334,0,0.3797507750908533,3.0028107007491562,0,0.5226003431966079,95.63533454977957,-0.02412923928796351,camera_offaxis+lbl@3.0m/0.50mps/gate/continue,0.16368756820930383,0.3350030785565348,0,E10_current_steady,20801000,False,False,1.0009369002497188,0.49263318429058095,8,8,8
0.14994783515910273,0.9994783515910276,0,True,1.0,,191.6999999999934,0,0.20649805648993924,3.0023234245648145,0,0.21416894761263733,95.07897908611497,-0.0298063358559697,camera_offaxis+lbl@3.0m/0.50mps/weight/continue,0.07430996987994633,0.14580429936376804,0,E10_current_steady,20801000,False,False,1.000774474854938,0.1880306015367939,8,8,8
0.05000000000000001,0.08217379889734838,0,True,1.0,,380.9000000000181,0,0.43922102334603785,1.0190677811803188,0,0.49193468506193644,95.89505847960692,-0.02147899510605189,camera_offaxis+single_beacon@1.0m/0.25mps/gate/continue,0.15791997643125058,0.3159006403361345,0,E10_current_steady,20801000,False,False,0.3396892603934396,0.4564263764545562,8,8,8
0.05,1.0,0,True,1.0,,378.50000000001756,0,0.28775519222980783,1.0190500252026444,0,0.03992017324865474,95.13551115830883,-0.029229477976440488,camera_offaxis+single_beacon@1.0m/0.25mps/weight/continue,0.06473748921873371,0.033414465781876485,0,E10_current_steady,20801000,False,False,0.3396833417342148,0.021610229566104852,8,8,8
0.05000000000000001,0.08012486992715921,0,True,1.0,,192.19999999999337,0,0.387923464599659,1.0403120194661415,0,0.5619808180037115,96.22693747719865,-0.01809247472246278,camera_offaxis+single_beacon@1.0m/0.50mps/gate/continue,0.21466407286601202,0.3635246006286469,0,E10_current_steady,20801000,False,False,0.3467706731553805,0.46659762335122607,8,8,8
0.05000000000000001,1.0,0,True,1.0,,190.99999999999343,0,0.2085863311727194,1.0396392383163058,0,0.24285901613558672,95.48165286463762,-0.02569741974859563,camera_offaxis+single_beacon@1.0m/0.50mps/weight/continue,0.09052071503002546,0.13585633384516105,0,E10_current_steady,20801000,False,False,0.3465464127721019,0.1801535827033497,8,8,8
0.05000000000000001,0.2413157894736842,0,True,1.0,,380.0000000000179,0,0.6236401139323053,2.0054605214049435,0,0.5497195262674023,95.19706007568084,-0.028601427799175072,camera_offaxis+single_beacon@2.0m/0.25mps/gate/continue,0.24381945370694108,0.34880551896318934,0,E10_current_steady,20801000,False,False,0.6684868404683145,0.6174266310091793,8,8,8
0.05,1.0,0,True,1.0,,378.00000000001745,0,0.27816558587563733,2.0054359677505045,0,0.0647224023296911,94.64473853185508,-0.034237361919846054,camera_offaxis+single_beacon@2.0m/0.25mps/weight/continue,0.06732396330176904,0.05158607187935946,0,E10_current_steady,20801000,False,False,0.6684786559168349,0.04617690533006728,8,8,8
0.05,0.0998439937597504,0,True,1.0,,192.29999999999336,0,0.3671022102417787,2.0122467400297106,0,0.564569287065006,95.88299727901658,-0.02160206858146352,camera_offaxis+single_beacon@2.0m/0.50mps/gate/continue,0.2113268942554774,0.3646803086839551,0,E10_current_steady,20801000,False,False,0.6707489133432368,0.48071996908186304,8,8,8
0.05000000000000001,1.0,0,True,1.0,,191.29999999999342,0,0.245855231670705,2.0122476247821246,0,0.2354380615182703,95.30030809858803,-0.02754787654502011,camera_offaxis+single_beacon@2.0m/0.50mps/weight/continue,0.08542791529372915,0.142466664058046,0,E10_current_steady,20801000,False,False,0.6707492082607082,0.1991771233862568,8,8,8
0.05,0.4838115293498289,0,True,1.0,,379.9000000000179,0,0.5378860540632635,3.0007441503811694,0,0.39318587809977,94.69956916370019,-0.03367786567652864,camera_offaxis+single_beacon@3.0m/0.25mps/gate/continue,0.179390081048042,0.1974181896172959,0,E10_current_steady,20801000,False,False,1.0002480501270565,0.26701542614995366,8,8,8
0.05,0.9978897388551833,0,True,1.0,,379.1000000000177,0,0.2325147611640901,3.000924793854238,0,0.09701153145839836,94.481380787241,-0.0359042776812144,camera_offaxis+single_beacon@3.0m/0.25mps/weight/continue,0.08641295607828342,0.07693412363296517,0,E10_current_steady,20801000,False,False,1.0003082646180792,0.08321729582414758,8,8,8
0.05,0.16016640665626625,0,True,1.0,,192.29999999999336,0,0.22751542661165658,3.0009501319005514,0,0.4179543012330909,95.74695317697815,-0.02299027370430462,camera_offaxis+single_beacon@3.0m/0.50mps/gate/continue,0.14541416105696078,0.2692874076153153,0,E10_current_steady,20801000,False,False,1.0003167106335171,0.29242452877308656,8,8,8
0.05000000000000001,0.9984284965950759,0,True,1.0,,190.89999999999344,0,0.21913188251248794,3.0009809190481387,0,0.2163319672091663,94.99882088047765,-0.030624276729819933,camera_offaxis+single_beacon@3.0m/0.50mps/weight/continue,0.09147732127883075,0.14948940410320652,0,E10_current_steady,20801000,False,False,1.0003269730160462,0.20744698627693484,8,8,8
0.1499738288406176,0.19497513739858677,0,True,1.0,,382.1000000000184,0,0.5922583996581761,1.01952363363011,0,0.6319867712335523,95.87897792472569,-0.021643082400758296,camera_offaxis+terrain_relative@1.0m/0.25mps/gate/continue,0.22608222324947466,0.39919289321080503,0,E10_current_steady,20801000,False,False,0.33984121121003663,0.6959881983377078,8,8,8
0.1499736911339121,1.0,0,True,1.0,,380.1000000000179,0,0.2517648432752928,1.0197837810289574,0,0.039257691772539655,95.2586175018855,-0.02797329079708677,camera_offaxis+terrain_relative@1.0m/0.25mps/weight/continue,0.06611558810168765,0.0334560041204209,0,E10_current_steady,20801000,False,False,0.33992792700965246,0.021626350045429118,8,8,8
